run_id,batch_label,metric,column,value,threshold,is_alert
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,type,-0.0060963474458261,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,type,-0.00604651095719777,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,url,0.0,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,url,0.0,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,url,0.0,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,url,0.0,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,url,0.0,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,vin,0.1012331681387878,0.1,True
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,vin,0.0014063679656010075,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,vin,0.022162069274930585,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,vin,0.04185055061731768,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,vin,-0.06125522970112296,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,year,0.0,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,year,0.0,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,year,0.0,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,year,0.0,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,year,0.0,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,category_shift,title_status,0.007872125558043355,0.15,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,category_shift,title_status,0.002583766496512374,0.15,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,category_shift,title_status,0.0040735727771658015,0.15,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,category_shift,title_status,0.0008768702795919755,0.15,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,category_shift,title_status,0.005116090453554267,0.15,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,category_shift,brand,0.03465732799346537,0.15,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,category_shift,brand,0.007180851668828987,0.15,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,category_shift,brand,0.010487647088231578,0.15,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,category_shift,brand,0.01398543199874537,0.15,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,category_shift,brand,0.007514896322688924,0.15,False
